1.0893,1.5565e-06,1.1578e-05
1.0714,1.5009e-06,1.0976e-05
1.0536,1.4464e-06,1.0398e-05
1.0357,1.3923e-06,9.8384e-06
1.0179,1.34e-06,9.3004e-06
1,1.2884e-06,8.7845e-06
0.9821,1.2375e-06,8.2808e-06
0.9643,1.1878e-06,7.8028e-06
0.9464,1.1393e-06,7.3419e-06
0.9286,1.0915e-06,6.9014e-06
0.9107,1.0442e-06,6.4725e-06
0.8929,9.979e-07,6.0667e-06
0.875,9.5384e-07,5.6757e-06
0.8571,9.0956e-07,5.3002e-06
0.8393,8.6652e-07,4.947e-06
0.8214,8.2472e-07,4.6072e-06
0.8036,7.8378e-07,4.2849e-06
0.7857,7.438e-07,3.9758e-06
0.7679,7.048e-07,3.6833e-06
0.75,6.6706e-07,3.4062e-06
0.7321,6.3002e-07,3.1396e-06
0.7143,5.9438e-07,2.8929e-06
0.6964,5.5956e-07,2.6547e-06
0.6786,5.2608e-07,2.4333e-06
0.6607,4.9316e-07,2.2236e-06
0.6429,4.6164e-07,2.0283e-06
0.625,4.3116e-07,1.8427e-06
0.6071,4.013e-07,1.6685e-06
0.5893,3.7298e-07,1.5067e-06
0.5714,3.4556e-07,1.3561e-06
0.5536,3.1938e-07,1.2173e-06
0.5357,2.9386e-07,1.0866e-06
0.5179,2.699e-07,9.665e-07
0.5,2.4666e-07,8.5578e-07
0.4821,2.245e-07,7.545e-07
0.4643,2.0382e-07,6.6196e-07
0.4464,1.8374e-07,5.765e-07
0.4286,1.6498e-07,5.001e-07
0.4107,1.472e-07,4.3032e-07
0.3929,1.3072e-07,3.6844e-07
0.375,1.153e-07,3.1294e-07
0.3571,1.007e-07,2.631e-07
0.3393,8.75118e-08,2.1994e-07
0.3214,7.53696e-08,1.8166e-07
0.3036,6.4285e-08,1.4862e-07
0.2857,5.41302e-08,1.2022e-07
0.2679,4.51278e-08,9.61808e-08
0.25,3.70636e-08,7.56962e-08
0.2321,2.99742e-08,5.87864e-08
0.2143,2.3861e-08,4.48442e-08
0.1964,1.86436e-08,3.3636e-08
0.1786,1.42764e-08,2.47408e-08
0.1607,1.06924e-08,1.77862e-08
0.1429,7.8169e-09,1.25196e-08
0.125,5.5636e-09,8.581e-09
0.1071,3.8449e-09,5.7413e-09
0.0893,2.5791e-09,3.7308e-09
0.0714,1.6767e-09,2.3604e-09
0.0536,1.0596e-09,1.4523e-09
0.0357,6.525e-10,8.7502e-10
0.0179,3.8913e-10,5.1451e-10
0,2.2581e-10,2.9453e-10
-0.0179,1.2805e-10,1.6525e-10
-0.0357,7.182e-11,9.213e-11
-0.0536,3.97e-11,5.032e-11
-0.0714,2.171e-11,2.732e-11
-0.0893,1.177e-11,1.456e-11
-0.1071,6.15e-12,7.78e-12
-0.125,3.13e-12,4.54e-12
-0.1429,1.85e-12,2.05e-12
-0.1607,8.8e-13,1.25e-12
-0.1786,7.6e-13,5.3e-13
-0.1964,5.5e-13,2e-14
-0.2143,1.8e-13,1e-13
-0.2321,1.3e-13,2.2e-13
-0.25,1e-14,9e-14
-0.2679,1.9e-13,1.2e-13
-0.2857,3e-14,4e-14
-0.3036,7e-14,2.3e-13
-0.3214,1.1e-13,9e-14
-0.3393,3.4e-13,2.8e-13
-0.3571,1.3e-13,2.5e-13
-0.375,3.1e-13,8e-14
-0.3929,1.2e-13,3e-14
-0.4107,2e-13,3.4e-13
-0.4286,2.8e-13,9e-14
-0.4464,1.1e-13,1.5e-13
-0.4643,2.6e-13,5.3e-13
-0.4821,1e-13,2.4e-13
-0.5,2.1e-13,1e-14
